,location,country_code,latitude,longitude,confirmed,dead,recovered,velocity_confirmed,velocity_dead,velocity_recovered,updated
8719,"Collingsworth County, Texas",us,35.0351623,-100.3497895,197,4.0,0.0,1,1,0,2020-12-17 17:48:16.112082+00:00
8720,"Carlton County, Minnesota",us,46.5619247,-92.6847226,2408,30.0,,8,1,0,2020-12-17 17:45:41.346197+00:00
8721,Guainía,co,2.585393,-68.52471489999999,7,1.0,0.0,0,0,0,2020-06-13 00:20:43.704995+00:00
8722,Schleswig-Flensburg,de,54.5221394,9.550814299999999,631,7.0,,0,0,0,2020-12-17 00:00:00+00:00
8723,"Sanborn County, South Dakota",us,44.0403291,-98.04651849999999,300,3.0,0.0,1,0,0,2020-12-17 17:48:16.112082+00:00
8724,"Banner County, Nebraska",us,41.500766,-103.6362715,23,0.0,,0,0,0,2020-12-17 17:45:41.346197+00:00
8725,Vale do Paraíso,br,-10.433045,-62.13129819999999,12,0.0,,0,0,0,2020-06-13 00:20:38.851767+00:00
8726,"Wallowa County, Oregon",us,45.592984,-116.9717994,76,3.0,,0,0,0,2020-12-18 17:45:39.083225+00:00
8727,São Francisco do Guaporé,br,-12.0602085,-63.5690171,31,1.0,,0,0,0,2020-06-13 00:20:32.311847+00:00
8728,Al Qatif,sa,26.5764917,49.998236,4871,11.0,1783.0,0,0,0,2020-07-01 06:48:18.926935+00:00
8729,Yinchuan,cn,38.487193,106.230908,36,0.0,36.0,0,0,0,2020-12-18 17:54:48.508171+00:00
8730,Getúlio Vargas,br,-22.9413244,-43.1802643,15,1.0,,0,0,0,2020-06-13 00:19:59.569486+00:00
8731,"Charles Mix County, South Dakota",us,43.0985109,-98.3964938,1048,10.0,0.0,2,0,0,2020-12-17 17:48:16.112082+00:00
8732,Yichun,cn,27.815743,114.416785,1,0.0,1.0,0,0,0,2020-12-18 17:54:48.508171+00:00
8733,Tonantins,br,-2.7915832,-67.6662231,342,14.0,,0,0,0,2020-06-13 00:20:36.898720+00:00
8734,Cangzhou,cn,38.30447700000001,116.838834,49,3.0,46.0,0,0,0,2020-12-18 17:54:48.508171+00:00
8735,São José da Barra,br,-20.7182331,-46.3115241,2,0.0,,0,0,0,2020-06-13 00:20:32.840244+00:00
8736,"San Jacinto County, Texas",us,30.5187687,-95.1432068,407,17.0,0.0,3,0,0,2020-12-17 17:48:16.112082+00:00
8737,"Bracken County, Kentucky",us,38.7117016,-84.05902900000001,236,3.0,,2,0,0,2020-12-17 17:45:41.346197+00:00
8738,"Greenbrier County, West Virginia",us,38.0198478,-80.54384499999999,1025,18.0,0.0,62,-1,0,2020-12-17 17:48:16.112082+00:00
8739,"Montgomery County, North Carolina",us,35.3587922,-79.87448359999999,1685,44.0,,19,0,0,2020-12-17 17:45:41.346197+00:00
8740,"Clarke County, Georgia",us,33.9519347,-83.357567,9136,60.0,,74,1,0,2020-12-17 17:45:41.346197+00:00
8741,"Glasscock County, Texas",us,31.912308,-101.6157773,77,1.0,0.0,5,0,0,2020-12-17 17:48:16.112082+00:00
8742,"Jasper County, Illinois",us,39.0554965,-88.0900762,822,13.0,,7,1,0,2020-12-17 17:45:41.346197+00:00
8743,"Saline County, Nebraska",us,40.4930367,-97.179026,1667,3.0,,4,0,0,2020-12-17 17:45:41.346197+00:00
8744,Araçu,br,-16.3567556,-49.6808747,0,0.0,,0,0,0,2020-06-13 00:19:43.071659+00:00
8745,"Lawrence County, Illinois",us,38.7157534,-87.77633329999999,1511,22.0,,23,6,0,2020-12-17 17:45:41.346197+00:00
8746,Ceará-Mirim,br,-5.6395379,-35.4237292,140,15.0,,0,0,0,2020-06-13 00:19:51.256996+00:00
8747,Feira de Santana,br,-12.2535848,-38.9600762,974,11.0,,95,0,0,2020-06-13 00:19:58.033846+00:00
8748,"Republic County, Kansas",us,39.807989,-97.69822719999999,509,9.0,,16,0,0,2020-12-17 17:45:41.346197+00:00
8749,Suzhou,cn,31.298974,120.585289,87,0.0,87.0,0,0,0,2020-12-18 17:54:48.508171+00:00
8750,"Pickaway County, Ohio",us,39.687828,-82.99316069999999,5235,50.0,,48,0,0,2020-12-17 17:45:41.346197+00:00
8751,São Miguel do Aleixo,br,-10.3882255,-37.38125950000001,9,0.0,,2,0,0,2020-06-13 00:20:34.586746+00:00
8752,Brejo dos Santos,br,-6.3773465,-37.8240636,1,0.0,,0,0,0,2020-06-13 00:19:46.920872+00:00
8753,"Steele County, North Dakota",us,47.4272265,-97.688456,152,1.0,,1,0,0,2020-12-17 17:45:41.346197+00:00
8754,Viçosa do Ceará,br,-3.5670807,-41.0919197,353,17.0,,14,2,0,2020-06-13 00:20:39.822067+00:00
8755,São Cristóvão,br,-11.0119289,-37.2074411,471,18.0,,12,3,0,2020-06-13 00:20:31.990637+00:00
